David,Goliath,Season
Cleveland St,Indiana,1986
Hampton,Iowa St,2001
Norfolk St,Missouri,2012
Coppin St,South Carolina,1997
Richmond,Syracuse,1991
FL Gulf Coast,Georgetown,2013
Santa Clara,Arizona,1993
MTSU,Michigan St,2016
Lehigh,Duke,2012
UMBC,Virginia,2018
Northwestern,Iowa,2006
Bucknell,Kansas,2005
Mercer,Duke,2014
Loyola-Chicago,Tennessee,2018
Princeton,UCLA,1996
Connecticut,Duke,1999
VCU,Kansas,2011
Valparaiso,Mississippi,1998
Richmond,Syracuse,1991
George Mason,Connecticut,2006
Villanova,Georgetown,1986
